producer_slug,song_id,title,segments
inabakumori,youtube_-5T-L0b43no,稲葉曇『ノンユース』Vo. 歌愛ユキ & 初音ミク,7
maretu,youtube_-rbyIphpwAo,"MARETU ft. 初音ミク ""Mind Brand"" マインドブランド (English Subtitles)",9
hachi,youtube_0RU_05zpETo,ハチ  MV「パンダヒーロー」HACHI / Panda Hero,8
orangestar,youtube_0edqjKwidPM,Aloud (ASH ver.),7
kemu,youtube_1EXGjYk_xXk,【HD】Reincarnation【GUMI・Kagamine Rin】- KEMU VOXX,7
mimi,youtube_1EevjGF2nuU,『ぴょん』/ feat. 初音ミク＆重音テトSV,5
neru,youtube_1bsd8fFmTAo,FLOP ERA / Akita Neru,5
kanaria,youtube_1qorVS1jIJg,VOCALOID // KING (Kanaria) 🍓 ENGLISH COVER by Lizz Robinett ft. @Lowlander_,5
maretu,youtube_2EHBotv2xnk,MARETU - ❌ New Darling ❌ (Ft. Vocaloid & UTAU) [SINGING DUET!!],5
hachi,youtube_2PqxOytUjz0,米津玄師　MV『ゴーゴー幽霊船』,8
nayutan,youtube_2t1NMRse6aI,ナユタン星人 - エイリアンエイリアン (ft.初音ミク) OFFICIAL MUSIC VIDEO,6
deco27,youtube_3GzRDW3hZ1k,DECO*27 - HAO feat. Hatsune Miku,6
nayutan,youtube_3x9_LpnRtAk,ナユタン星人 - ロケットサイダー (ft.初音ミク) Official Music Video,6
mitchie_m,youtube_4QL9tLfVFJg,"Mitchie M - Newly Edgy Idols feat. Hatsune Miku, Kagamine Rin, Megurine Luka, Meiko",8
kemu,youtube_5Pbx04sT-sU,【HD】 イカサマライフゲイム 【GUMI】 - KEMU VOXX,9
mimi,youtube_5hgSET4bpbk,『アンコールダンス』/ feat. 重音テトSV,5
cosmo,youtube_6wUqdA4SuBk,コぇちっちゃ＜てゴ×ンネ - cosMo＠暴走P feat.可不,6
mimi,youtube_7xht3kQO_TM,『 Hanataba 』/ MIMI feat. KAFU,5
orangestar,youtube_7yLnea9NO_M,【VY1V4】Henceforth【Cover】,8
40mp,youtube_86NfhiTdA7g,【VOCALOID Fukase】 誰も知らないハッピーエンド 【オリジナルMV】,9
cosmo,youtube_8J6SMoVd5BY,Hatsune Creation Myth / cosMo@Bousou-P feat. Hatsune Miku [Magical Mirai 2021],9
wowaka,youtube_8e3EuFaQc7E,Rolling Girl (English Cover)【Will Stetson】「ローリンガール」,7
mitchie_m,youtube_8kX5_69sO8Q,Hatsune Miku - Burenai ai de (by Mitchie M) [VOCALOID EDM],8
neru,youtube_8oBV3jPTW4s,Neru - Lost One's Weeping feat. Kagamine Rin,7
deco27,youtube_8pGRdRhjX3o,DECO*27 - MKDR (DSCF) feat. Hatsune Miku,9
40mp,youtube_8uV_czuhdjc,【初音ミク】 悪役にキスシーンを 【オリジナルMV】_Kiss the Villain,8
kanaria,youtube_94FQd3qSoz8,【初音ミク】レクイエム【Kanaria】,5
pinocchiop,youtube_A1Ptl0qs-pE,PinocchioP - Fake meme feat. Hatsune Miku,7
pinocchiop,youtube_A1XqqVWyUl4,PinocchioP - With or Without Me feat. Hatsune Miku,7
hachi,youtube_AKffZySqQts,ハチ MV「結ンデ開イテ羅刹ト骸」HACHI / Musunde Hiraite Rasetsu to Mukuro,9
hachi,youtube_AS4q9yaWJkI,"ハチ - 砂の惑星 feat.初音ミク , HACHI - DUNE ft.Miku Hatsune",8
wowaka,youtube_AvTH7J2shuI,"Hatsune Miku - ""裏表ラバーズ(Two-Faced Lovers)"" English Subbed",6
deco27,youtube_BI9Ue6JwJic,DECO*27 - Cherry Pop feat. Hatsune Miku,5
kanaria,youtube_BY7CnLX5Mk0,【GUMI】CartoonGirl【Kanaria】,4
maretu,youtube_Bewg7ljiO-w,[MARETU] 彼氏が死んじゃった。(My Boyfriend Died.) Ft. 初音ミク/鏡音リン - Modern MARETU PV + English Subs.,6
nayutan,youtube_Bmqg7naxfvo,惑星ループ - Eve  feat.ナユタン星人,7
kanaria,youtube_BvHUt-mLJSo,[Karaoke] KING - Kanaria Ft. GUMI,5
orangestar,youtube_BwGpXK3W6tE,Orangestar - 快晴 (feat. IA) Official Video,9
jin,youtube_C3j9HtU2cMo,じん feat.初音ミク　「Sky of Beginning」 full music video ver. (FHD),8
inabakumori,youtube_DeKLpgzh-qQ,稲葉曇『ロストアンブレラ』Vo. 歌愛ユキ,7
neru,youtube_Dz5rALpx06M,バゥムクゥヘン・エンドロゥル / 雨良 feat.初音ミクVS重音テトVS亞北ネル(Baumkuchen End Credits / Amala ft.Miku vs Teto vs Neru),5
inabakumori,youtube_EEk4JGzqoFg,稲葉曇『私は雨』Vo. 歌愛ユキ,8
pinocchiop,youtube_EHBFKhLUVig,PinocchioP - God-ish feat. Hatsune Miku,7
deco27,youtube_E_PfhNftyh4,DECO*27 - Dilemma feat. Hatsune Miku,6
neru,youtube_EjSvChCF9_M,Neru - Abstract Nonsense (アブストラクト・ナンセンス) feat. Kagamine Rin,8
kairikibear,youtube_FkO8ub83wss,【公式】 バグ／かいりきベア feat.初音ミク,6
kanaria,youtube_Fp5O_ojp3p0,【VOCALOID Cover】 Yoidore Shirazu (酔いどれ知らず) - Kanaria【Hatsune Miku · Otomachi Una】,5
hachi,youtube_Ftx7tjZTpsw,ハチ MV「Christmas Morgue」HACHI,9
hachi,youtube_GlBWvRslL2c,ハチ MV「WORLD'S  END UMBRELLA」HACHI,11
hachi,youtube_HOz-9FzIDf0,ハチ  MV「マトリョシカ」HACHI / MATORYOSHKA,7
chinozo,youtube_HY4iy9J9V1A,Chinozo 「Re:main」 feat. Hatsune Miku,7
neru,youtube_HYKLZOo3DM4,Hatsune Miku - Triple Baka (4K UPSCALE),8
kairikibear,youtube_HbSMzi9niVg,【公式】 メンタルチェンソー／かいりきベア feat.初音ミク,6
neru,youtube_HdC2cB_DZok,Neru - ハウトゥー世界征服(How To World Domination) feat. Kagamine Rin & Kagamine Len,7
inabakumori,youtube_IJN0piNZhBE,稲葉曇『超深淵帯』Vo. 歌愛ユキ,6
kemu,youtube_IN3kbST908c,【HD】 人生リセットボタン 【GUMIオリジナル曲・PV付】- KEMU VOXX,8
mitchie_m,youtube_JQoeuGNJfAg,Bad Girl A feat. Hatsune Miku [Comic-like MV] / Mitchie M,8
nayutan,youtube_Ja9qmYjXk6U,ナユタン星人 - 太陽系デスコ (ft.初音ミク) OFFICIAL MUSIC VIDEO,7
inabakumori,youtube_Jhw7Hum-eLw,稲葉曇『浮遊月光街』Vo. 歌愛ユキ,7
pinocchiop,youtube_Jtm6ikBIl0g,PinocchioP - Don’t Believe in T feat. Hatsune Miku & Kasane Teto,6
kanaria,youtube_KFCaSz_yYCM,【GUMI】QUEEN【Kanaria】,5
mitchie_m,youtube_KmvydnVTriE,[Hatsune Miku sings like a human] FREELY TOMORROW [Project DIVA song],8
pinocchiop,youtube_LYWP8HtgeLQ,PinocchioP - Reincarnation Apple feat. Hatsune Miku,7
kanaria,youtube_M9moY0hEJRE,【GUMI×Hatsune Miku】identity【Kanaria】,5
cosmo,youtube_MFEaIgMkR_0,[Official] The Intense Voice of HATSUNE MIKU / cosMo@Bousou-P,10
jin,youtube_MJL9LuyX-Bk,初音ミク『個々々々々々人』,6
nayutan,youtube_Mksf3xakH8s,ナユタン星人 - 水色侵略 (ft.初音ミク) OFFICIAL MUSIC VIDEO,8
cosmo,youtube_MoyBi5SM7XI,[Official] Sentimental Masochist/ cosMo@Bousou-P feat. HATSUNE MIKU,8
jin,youtube_N2-HzUpMY7c,JUVENILE / 初音ミク feat. じん【Official MV】,9
cosmo,youtube_NFT6GMPeYJI,ヤミナベ!!!! - cosMo＠暴走P feat.初音ミク,5
wowaka,youtube_NIqm73xsias,Hatsune Miku - Rolling Girl PV (English Subs),7
40mp,youtube_NvAh_YiAfws,【初音ミク(40㍍)】 純情スカート Pure-Hearted Skirt【オリジナルPV】,9
mimi,youtube_OQvIBUvto5U,『Sora's Record』 / feat. Hatsune Miku,7
kemu,youtube_Om3MTou2kPg,【HD】 六兆年と一夜物語 【IAオリジナル曲・PV付】- KEMU VOXX,8
kemu,youtube_OmHD11TOD08,瓦礫の塔 - kemu feat. GUMI,7
wowaka,youtube_P_CSdxSGfaA,wowaka 『アンノウン・マザーグース』feat. 初音ミク / wowaka - Unknown Mother-Goose (Official Video) ft. Hatsune Miku,10
40mp,youtube_Q7KBdr_kwJc,【GUMI(40㍍)】 ハートブレイク・ヘッドライン Heart Break Head Line【オリジナルPV】,7
maretu,youtube_R_g0M5Zmqhg,【初音ミク】　あいしていたのに　【オリジナル】,7
deco27,youtube_RgVLBtRLX9k,DECO*27 - Love Para feat. Hatsune Miku,6
kairikibear,youtube_Rkrm5foi188,【公式】 ダーリンダンス／かいりきベア feat.初音ミク,7
maretu,youtube_SOhCtSuVSWo,【初音ミク】　ニャン　【オリジナル】,7
inabakumori,youtube_STBoCK69vVQ,稲葉曇『スポットレイト』Vo. 歌愛ユキ,6
mimi,youtube_TC80uw4HgCw,『マジック・メイド』 / feat.重音テトSV,5
kairikibear,youtube_TFpizvPDbec,【公式】 メロメロイド／かいりきベア feat.初音ミク,6
cosmo,youtube_TX7jS2Ivze4,"[Official] Gensou Rakudo ""Dr. Realist"" / cosMo＠Bousou-P feat. Kamui Gakupo",12
